artist,track,genre,popularity,Sentiment,Sentiment_Score
The Neighbourhood,Softcore,modern alternative rock,92,Positive,76.73
The Neighbourhood,Softcore,modern rock,92,Positive,76.73
The Neighbourhood,Softcore,pop,92,Positive,76.73
Olivia Rodrigo,traitor,pop,93,Negative,97.69
BoyWithUke,Toxic,,93,Positive,80.77
Tate McRae,she's all i wanna be,alt z,91,Negative,97.96
Tate McRae,she's all i wanna be,dance pop,91,Negative,97.96
Tate McRae,she's all i wanna be,pop,91,Negative,97.96
Tate McRae,she's all i wanna be,post-teen pop,91,Negative,97.96
Ruth B.,Dandelions,alt z,92,Positive,99.49
Ruth B.,Dandelions,canadian contemporary r&b,92,Positive,99.49
Ruth B.,Dandelions,canadian pop,92,Positive,99.49
Ruth B.,Dandelions,pop,92,Positive,99.49
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",detroit hip hop,82,Positive,44.77
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",hip hop,82,Positive,44.77
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",rap,82,Positive,44.77
Jung Kook,Stay Alive (Prod. SUGA of BTS),,92,Positive,61.99
Dua Lipa,Levitating (feat. DaBaby),dance pop,89,Positive,97.27
Dua Lipa,Levitating (feat. DaBaby),pop,89,Positive,97.27
Dua Lipa,Levitating (feat. DaBaby),uk pop,89,Positive,97.27
Lil Nas X,MONTERO (Call Me By Your Name),lgbtq+ hip hop,90,Positive,73.06
Lil Nas X,MONTERO (Call Me By Your Name),pop,90,Positive,73.06
Jessica Darrow,"Surface Pressure - From ""Encanto""/Soundtrack Version",,75,Positive,93.21
Sebastian Yatra,Tacones Rojos,colombian pop,80,Positive,45.88
Sebastian Yatra,Tacones Rojos,latin,80,Positive,45.88
Sebastian Yatra,Tacones Rojos,reggaeton colombiano,80,Positive,45.88
Blessd,Medallo,reggaeton,92,Negative,79.06
Blessd,Medallo,trap latino,92,Negative,79.06
